,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
68,6hOkDfpqzrARPgVRmUGbSs,Tell Me (What Is Love),0XFNh4Buo97mSzJK3C7gSJ,https://p.scdn.co/mp3-preview/de7ca2c5bad0b0ca42a47d70f43793fe0f309551?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2016-02-19,['k-pop'],0.718,0.811,-2.169,0.0346,0.144,0,0.0986,0.844,120.035,1,0,282240,55.0
69,6hOkDfpqzrARPgVRmUGbSs,Sing For You,7htOPFqaCfI6j5ssnz2cla,https://p.scdn.co/mp3-preview/8cbb9469f858d212096a6dc5c0fecb1e0616b318?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-12-10,"['k-pop', 'k-pop boy group']",0.341,0.288,-7.544,0.0335,0.852,0,0.363,0.443,170.202,8,1,235036,54.0
70,6hOkDfpqzrARPgVRmUGbSs,She’s Dreaming,7lX7xZA7IJ10ga8mqZnf0j,https://p.scdn.co/mp3-preview/e0009196fa44c5c6c699e994943507792a325180?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2016-08-18,"['k-pop', 'k-pop boy group']",0.59,0.639,-4.548,0.0427,0.0816,0,0.0788,0.462,72.496,11,0,242367,45.0
71,6hOkDfpqzrARPgVRmUGbSs,MAMA,1EvB6tE5CHluLZaWm3r0bT,https://p.scdn.co/mp3-preview/5b8d4d11a84ffa1cc6ffa417c7f800fa16db2e50?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2012-04-09,"['k-pop', 'k-pop boy group']",0.629,0.963,-3.889,0.112,0.00515,0,0.262,0.528,90.015,0,1,270453,59.0
72,6hOkDfpqzrARPgVRmUGbSs,Universe,5ptViFrfoKdGPTdd9oQCwr,https://p.scdn.co/mp3-preview/6b76c8a6ceac42e36997a4093c0067781dc7f1ea?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-12-26,"['k-pop', 'k-pop boy group']",0.38,0.439,-5.529,0.0314,0.603,0,0.133,0.146,139.805,3,1,264366,54.0
73,6hOkDfpqzrARPgVRmUGbSs,Stay,7qA1ly9O3kKuUIJD3Ia4u3,https://p.scdn.co/mp3-preview/626c8dcca9c9481d11414fd44f3676c9314460e6?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-12-26,"['k-pop', 'k-pop boy group']",0.792,0.741,-6.862,0.113,0.464,1.46e-06,0.154,0.341,111.996,8,0,230958,44.0
74,6hOkDfpqzrARPgVRmUGbSs,Lights Out,1xEGxyC38Ms7uq5C5jlgXD,https://p.scdn.co/mp3-preview/0b46a85154a4a0854d339d10e88c27fcc9752d95?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-12-26,"['k-pop', 'k-pop boy group']",0.521,0.278,-9.541,0.0447,0.903,0,0.0714,0.19,71.99,9,1,186325,45.0
75,6hOkDfpqzrARPgVRmUGbSs,"Love, Love, Love",7bDoM9W8OIuo0vDee6ofVY,https://p.scdn.co/mp3-preview/cd86eb216bb13ddced98c6a689e2b747a70ef573?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2014-08-06,"['k-pop', 'k-pop boy group']",0.647,0.879,-4.122,0.106,0.404,0,0.357,0.538,130.036,6,0,233531,43.0
76,6hOkDfpqzrARPgVRmUGbSs,Confession - Live,3VHYNsLYJC8b3gmeNZsbhE,https://p.scdn.co/mp3-preview/6fa72c4469cfcc857436ec6f1a924fdc7bff7f11?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2020-04-21,"['k-pop', 'k-pop boy group']",0.61,0.905,-3.271,0.0591,0.0453,0,0.704,0.205,128.964,2,1,236200,33.0
77,6hOkDfpqzrARPgVRmUGbSs,Let Out the Beast,7JZsqv8ooSRwgc4DGroZXS,https://p.scdn.co/mp3-preview/0eac7b2b9824db94bf092257844b032b0bd9b954?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2013-08-05,"['k-pop', 'k-pop boy group']",0.768,0.867,-4.122,0.0533,0.101,0.000406,0.0884,0.885,121.993,1,0,205880,44.0
78,6hOkDfpqzrARPgVRmUGbSs,Christmas Day,5KkqyiAZr8QT6zscgM2pJf,https://p.scdn.co/mp3-preview/b6b5064957bf7f741a737d89248a861489627c1b?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2013-12-09,"['k-pop', 'k-pop boy group']",0.715,0.483,-5.857,0.0466,0.379,0,0.151,0.498,107.95,8,1,226467,46.0
79,6hOkDfpqzrARPgVRmUGbSs,MY ANSWER,4EyZwGurgOQNbeiypKzqQf,https://p.scdn.co/mp3-preview/5295e851f93b87dba527d1409221076f2967e957?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-06-03,"['k-pop', 'k-pop boy group']",0.578,0.271,-8.48,0.0327,0.881,0,0.107,0.367,125.803,9,1,213133,37.0
